dataset,model,n_icl,BLEU,ROUGE-L,BERT,MEDCON
cxr,gpt-35,0,"{'avg': 1.92, 'std': 5.04}","{'avg': 17.86, 'std': 13.93}","{'avg': 84.76, 'std': 2.97}","{'avg': 18.59, 'std': 21.92}"
cxr,gpt-35,1,"{'avg': 5.36, 'std': 9.82}","{'avg': 27.44, 'std': 19.38}","{'avg': 87.61, 'std': 3.61}","{'avg': 38.14, 'std': 31.68}"
cxr,gpt-35,2,"{'avg': 7.11, 'std': 13.18}","{'avg': 31.14, 'std': 19.2}","{'avg': 88.16, 'std': 3.49}","{'avg': 41.6, 'std': 31.39}"
cxr,gpt-35,4,"{'avg': 14.21, 'std': 26.78}","{'avg': 38.25, 'std': 25.73}","{'avg': 89.22, 'std': 4.56}","{'avg': 44.53, 'std': 33.34}"
cxr,gpt-35,8,"{'avg': 15.01, 'std': 26.44}","{'avg': 41.46, 'std': 25.2}","{'avg': 89.78, 'std': 4.51}","{'avg': 47.42, 'std': 33.23}"
cxr,gpt-35,16,"{'avg': 20.61, 'std': 31.1}","{'avg': 46.72, 'std': 27.19}","{'avg': 90.32, 'std': 5.07}","{'avg': 48.98, 'std': 34.63}"
cxr,gpt-35,32,"{'avg': 27.09, 'std': 36.29}","{'avg': 52.16, 'std': 29.83}","{'avg': 91.27, 'std': 5.47}","{'avg': 54.34, 'std': 35.64}"
cxr,gpt-35,64,"{'avg': 27.32, 'std': 36.69}","{'avg': 52.26, 'std': 30.05}","{'avg': 91.19, 'std': 5.41}","{'avg': 53.95, 'std': 35.72}"
iii,gpt-35,0,"{'avg': 3.95, 'std': 7.13}","{'avg': 21.36, 'std': 11.03}","{'avg': 86.26, 'std': 2.38}","{'avg': 23.46, 'std': 18.14}"
iii,gpt-35,1,"{'avg': 7.19, 'std': 10.97}","{'avg': 29.05, 'std': 15.24}","{'avg': 88.09, 'std': 2.93}","{'avg': 28.08, 'std': 23.6}"
iii,gpt-35,2,"{'avg': 8.05, 'std': 12.26}","{'avg': 30.12, 'std': 16.16}","{'avg': 88.39, 'std': 2.89}","{'avg': 31.74, 'std': 25.11}"
iii,gpt-35,4,"{'avg': 9.96, 'std': 15.42}","{'avg': 30.95, 'std': 15.65}","{'avg': 88.65, 'std': 2.81}","{'avg': 33.85, 'std': 26.93}"
iii,gpt-35,8,"{'avg': 10.78, 'std': 18.72}","{'avg': 32.54, 'std': 18.36}","{'avg': 88.84, 'std': 3.12}","{'avg': 31.95, 'std': 27.76}"
iii,gpt-35,16,"{'avg': 12.87, 'std': 19.87}","{'avg': 33.71, 'std': 18.79}","{'avg': 88.94, 'std': 3.41}","{'avg': 34.59, 'std': 27.02}"
iii,gpt-35,32,"{'avg': 12.08, 'std': 20.09}","{'avg': 32.64, 'std': 20.12}","{'avg': 88.72, 'std': 3.62}","{'avg': 33.13, 'std': 28.38}"
chq,gpt-35,0,"{'avg': 5.39, 'std': 10.51}","{'avg': 31.53, 'std': 15.33}","{'avg': 91.27, 'std': 2.25}","{'avg': 50.34, 'std': 32.38}"
chq,gpt-35,1,"{'avg': 6.84, 'std': 14.33}","{'avg': 35.92, 'std': 18.67}","{'avg': 92.02, 'std': 2.86}","{'avg': 53.43, 'std': 34.21}"
chq,gpt-35,2,"{'avg': 6.89, 'std': 13.78}","{'avg': 36.0, 'std': 17.99}","{'avg': 92.04, 'std': 2.79}","{'avg': 53.32, 'std': 34.1}"
chq,gpt-35,4,"{'avg': 9.19, 'std': 16.83}","{'avg': 37.23, 'std': 19.05}","{'avg': 92.24, 'std': 3.01}","{'avg': 55.2, 'std': 34.44}"
chq,gpt-35,8,"{'avg': 6.5, 'std': 13.17}","{'avg': 34.97, 'std': 16.92}","{'avg': 91.95, 'std': 2.75}","{'avg': 53.73, 'std': 34.91}"
chq,gpt-35,16,"{'avg': 8.2, 'std': 16.53}","{'avg': 36.13, 'std': 19.65}","{'avg': 92.14, 'std': 3.04}","{'avg': 57.5, 'std': 34.77}"
chq,gpt-35,32,"{'avg': 7.63, 'std': 15.2}","{'avg': 33.92, 'std': 17.9}","{'avg': 91.99, 'std': 2.78}","{'avg': 54.75, 'std': 35.59}"
chq,gpt-35,64,"{'avg': 7.66, 'std': 15.86}","{'avg': 34.99, 'std': 18.63}","{'avg': 92.12, 'std': 2.67}","{'avg': 56.42, 'std': 35.72}"
pls,gpt-35,0,"{'avg': 1.56, 'std': 10.33}","{'avg': 18.79, 'std': 13.86}","{'avg': 83.72, 'std': 3.67}","{'avg': 24.56, 'std': 19.78}"
pls,gpt-35,1,"{'avg': 1.78, 'std': 10.49}","{'avg': 24.86, 'std': 16.89}","{'avg': 85.76, 'std': 3.76}","{'avg': 27.91, 'std': 22.73}"
pls,gpt-35,2,"{'avg': 3.37, 'std': 12.72}","{'avg': 24.69, 'std': 18.53}","{'avg': 86.03, 'std': 3.99}","{'avg': 28.41, 'std': 23.76}"
pls,gpt-35,4,"{'avg': 3.59, 'std': 12.76}","{'avg': 26.42, 'std': 19.58}","{'avg': 86.12, 'std': 4.51}","{'avg': 29.77, 'std': 25.29}"
pls,gpt-35,8,"{'avg': 3.27, 'std': 13.4}","{'avg': 26.1, 'std': 19.65}","{'avg': 86.34, 'std': 4.33}","{'avg': 30.14, 'std': 25.13}"
d2n,gpt-35,0,"{'avg': 7.93, 'std': 5.01}","{'avg': 23.56, 'std': 4.95}","{'avg': 86.37, 'std': 0.93}","{'avg': 43.0, 'std': 12.36}"
d2n,gpt-35,1,"{'avg': 14.84, 'std': 9.68}","{'avg': 32.23, 'std': 9.82}","{'avg': 88.95, 'std': 1.7}","{'avg': 54.22, 'std': 14.88}"
d2n,gpt-35,2,"{'avg': 22.51, 'std': 13.12}","{'avg': 39.23, 'std': 11.07}","{'avg': 89.71, 'std': 1.67}","{'avg': 59.89, 'std': 12.68}"
d2n,gpt-35,4,"{'avg': 20.7, 'std': 10.43}","{'avg': 37.57, 'std': 9.99}","{'avg': 89.53, 'std': 1.63}","{'avg': 55.98, 'std': 13.89}"
d2n,gpt-35,8,"{'avg': 21.97, 'std': 10.72}","{'avg': 38.3, 'std': 9.57}","{'avg': 89.69, 'std': 1.69}","{'avg': 57.22, 'std': 14.5}"
opi,vicuna-7b,0,"{'avg': 1.07, 'std': 5.31}","{'avg': 11.64, 'std': 13.39}","{'avg': 85.73, 'std': 2.63}","{'avg': 9.46, 'std': 21.16}"
opi,vicuna-7b,1,"{'avg': 10.18, 'std': 13.14}","{'avg': 32.38, 'std': 19.72}","{'avg': 89.69, 'std': 3.53}","{'avg': 39.16, 'std': 34.97}"
opi,vicuna-7b,2,"{'avg': 11.09, 'std': 14.21}","{'avg': 35.02, 'std': 19.51}","{'avg': 89.85, 'std': 3.37}","{'avg': 38.88, 'std': 32.29}"
opi,vicuna-7b,4,"{'avg': 10.77, 'std': 13.68}","{'avg': 34.86, 'std': 19.84}","{'avg': 89.76, 'std': 3.5}","{'avg': 39.49, 'std': 32.51}"
opi,vicuna-7b,8,"{'avg': 11.14, 'std': 13.17}","{'avg': 36.23, 'std': 18.96}","{'avg': 90.01, 'std': 3.42}","{'avg': 40.29, 'std': 33.34}"
opi,vicuna-7b,16,"{'avg': 11.4, 'std': 13.65}","{'avg': 36.32, 'std': 19.48}","{'avg': 89.98, 'std': 3.53}","{'avg': 38.58, 'std': 32.13}"
cxr,vicuna-7b,0,"{'avg': 2.37, 'std': 5.77}","{'avg': 15.4, 'std': 14.07}","{'avg': 84.46, 'std': 2.87}","{'avg': 19.42, 'std': 23.72}"
cxr,vicuna-7b,1,"{'avg': 5.17, 'std': 8.08}","{'avg': 23.93, 'std': 13.66}","{'avg': 86.55, 'std': 3.22}","{'avg': 29.32, 'std': 23.83}"
cxr,vicuna-7b,2,"{'avg': 4.0, 'std': 6.76}","{'avg': 23.39, 'std': 13.51}","{'avg': 86.34, 'std': 3.15}","{'avg': 29.14, 'std': 25.38}"
cxr,vicuna-7b,4,"{'avg': 4.12, 'std': 6.31}","{'avg': 21.65, 'std': 14.25}","{'avg': 86.19, 'std': 3.26}","{'avg': 27.22, 'std': 24.39}"
cxr,vicuna-7b,8,"{'avg': 4.68, 'std': 6.73}","{'avg': 22.94, 'std': 13.24}","{'avg': 86.22, 'std': 3.06}","{'avg': 27.16, 'std': 25.28}"
cxr,vicuna-7b,16,"{'avg': 4.48, 'std': 6.79}","{'avg': 21.53, 'std': 14.85}","{'avg': 85.78, 'std': 3.68}","{'avg': 26.71, 'std': 26.62}"
iii,vicuna-7b,0,"{'avg': 2.67, 'std': 5.42}","{'avg': 15.12, 'std': 8.78}","{'avg': 85.15, 'std': 2.01}","{'avg': 15.95, 'std': 16.1}"
iii,vicuna-7b,1,"{'avg': 4.2, 'std': 5.66}","{'avg': 16.61, 'std': 8.06}","{'avg': 85.1, 'std': 1.96}","{'avg': 19.78, 'std': 16.01}"
iii,vicuna-7b,2,"{'avg': 3.51, 'std': 4.51}","{'avg': 16.58, 'std': 7.41}","{'avg': 85.11, 'std': 1.83}","{'avg': 18.94, 'std': 14.53}"
iii,vicuna-7b,4,"{'avg': 3.63, 'std': 5.14}","{'avg': 16.21, 'std': 6.61}","{'avg': 85.48, 'std': 1.74}","{'avg': 19.99, 'std': 14.65}"
iii,vicuna-7b,8,"{'avg': 2.81, 'std': 4.85}","{'avg': 14.45, 'std': 7.53}","{'avg': 84.88, 'std': 2.31}","{'avg': 17.16, 'std': 15.47}"
chq,vicuna-7b,0,"{'avg': 3.29, 'std': 8.05}","{'avg': 30.61, 'std': 17.42}","{'avg': 89.74, 'std': 2.93}","{'avg': 46.11, 'std': 38.7}"
chq,vicuna-7b,1,"{'avg': 3.45, 'std': 9.43}","{'avg': 28.8, 'std': 16.06}","{'avg': 89.69, 'std': 2.7}","{'avg': 46.54, 'std': 39.14}"
chq,vicuna-7b,2,"{'avg': 4.55, 'std': 10.05}","{'avg': 31.58, 'std': 15.85}","{'avg': 90.1, 'std': 2.58}","{'avg': 49.72, 'std': 38.21}"
chq,vicuna-7b,4,"{'avg': 5.12, 'std': 12.01}","{'avg': 31.17, 'std': 18.79}","{'avg': 89.94, 'std': 2.92}","{'avg': 51.21, 'std': 39.69}"
chq,vicuna-7b,8,"{'avg': 6.15, 'std': 12.77}","{'avg': 30.65, 'std': 18.11}","{'avg': 89.93, 'std': 2.91}","{'avg': 52.1, 'std': 39.8}"
pls,vicuna-7b,0,"{'avg': 0.12, 'std': 1.25}","{'avg': 13.44, 'std': 10.89}","{'avg': 83.26, 'std': 2.75}","{'avg': 20.15, 'std': 21.97}"
pls,vicuna-7b,1,"{'avg': 0.12, 'std': 1.25}","{'avg': 7.71, 'std': 10.45}","{'avg': 80.62, 'std': 3.57}","{'avg': 10.99, 'std': 17.46}"
d2n,vicuna-7b,0,"{'avg': 7.75, 'std': 5.47}","{'avg': 22.12, 'std': 7.76}","{'avg': 85.02, 'std': 2.22}","{'avg': 39.53, 'std': 15.97}"
opi,llama2-7b,0,"{'avg': 0.57, 'std': 4.29}","{'avg': 11.73, 'std': 11.75}","{'avg': 85.35, 'std': 2.07}","{'avg': 6.85, 'std': 18.67}"
opi,llama2-7b,1,"{'avg': 11.17, 'std': 12.99}","{'avg': 33.98, 'std': 18.52}","{'avg': 89.85, 'std': 3.35}","{'avg': 38.24, 'std': 31.08}"
opi,llama2-7b,2,"{'avg': 11.89, 'std': 14.03}","{'avg': 34.83, 'std': 19.03}","{'avg': 89.83, 'std': 3.34}","{'avg': 39.3, 'std': 32.52}"
opi,llama2-7b,4,"{'avg': 12.2, 'std': 13.34}","{'avg': 35.09, 'std': 18.68}","{'avg': 90.04, 'std': 3.17}","{'avg': 40.1, 'std': 31.98}"
opi,llama2-7b,8,"{'avg': 13.3, 'std': 14.01}","{'avg': 36.69, 'std': 19.18}","{'avg': 90.19, 'std': 3.36}","{'avg': 40.22, 'std': 32.16}"
opi,llama2-7b,16,"{'avg': 12.24, 'std': 13.2}","{'avg': 35.78, 'std': 18.14}","{'avg': 89.96, 'std': 3.25}","{'avg': 39.8, 'std': 32.14}"
opi,llama2-7b,32,"{'avg': 12.67, 'std': 13.05}","{'avg': 35.53, 'std': 18.57}","{'avg': 90.03, 'std': 3.37}","{'avg': 39.64, 'std': 31.31}"
cxr,llama2-7b,0,"{'avg': 1.89, 'std': 6.56}","{'avg': 13.87, 'std': 12.4}","{'avg': 83.82, 'std': 2.64}","{'avg': 17.82, 'std': 26.04}"
cxr,llama2-7b,1,"{'avg': 5.45, 'std': 8.32}","{'avg': 23.59, 'std': 13.88}","{'avg': 86.52, 'std': 3.31}","{'avg': 29.06, 'std': 23.73}"
cxr,llama2-7b,2,"{'avg': 5.59, 'std': 8.11}","{'avg': 24.5, 'std': 13.4}","{'avg': 86.83, 'std': 3.22}","{'avg': 32.12, 'std': 24.62}"
cxr,llama2-7b,4,"{'avg': 5.61, 'std': 7.63}","{'avg': 24.19, 'std': 13.32}","{'avg': 86.72, 'std': 3.21}","{'avg': 31.4, 'std': 23.96}"
cxr,llama2-7b,8,"{'avg': 6.02, 'std': 7.92}","{'avg': 25.42, 'std': 13.89}","{'avg': 86.85, 'std': 3.03}","{'avg': 32.61, 'std': 23.42}"
cxr,llama2-7b,16,"{'avg': 6.38, 'std': 8.88}","{'avg': 25.26, 'std': 14.88}","{'avg': 86.96, 'std': 3.23}","{'avg': 32.56, 'std': 24.28}"
cxr,llama2-7b,32,"{'avg': 4.85, 'std': 6.64}","{'avg': 20.25, 'std': 14.5}","{'avg': 85.35, 'std': 4.0}","{'avg': 24.4, 'std': 24.66}"
iii,llama2-7b,0,"{'avg': 4.0, 'std': 7.18}","{'avg': 11.98, 'std': 8.56}","{'avg': 83.67, 'std': 2.67}","{'avg': 18.52, 'std': 20.71}"
iii,llama2-7b,1,"{'avg': 4.77, 'std': 6.12}","{'avg': 17.44, 'std': 9.6}","{'avg': 85.58, 'std': 2.11}","{'avg': 23.2, 'std': 19.64}"
iii,llama2-7b,2,"{'avg': 4.91, 'std': 5.97}","{'avg': 17.43, 'std': 8.58}","{'avg': 85.77, 'std': 2.16}","{'avg': 22.99, 'std': 16.87}"
iii,llama2-7b,4,"{'avg': 4.39, 'std': 5.49}","{'avg': 17.06, 'std': 8.49}","{'avg': 85.52, 'std': 2.27}","{'avg': 22.47, 'std': 17.96}"
iii,llama2-7b,8,"{'avg': 3.83, 'std': 5.17}","{'avg': 16.48, 'std': 7.59}","{'avg': 85.27, 'std': 2.26}","{'avg': 20.0, 'std': 16.66}"
iii,llama2-7b,16,"{'avg': 3.42, 'std': 5.14}","{'avg': 14.54, 'std': 9.12}","{'avg': 84.31, 'std': 3.19}","{'avg': 18.5, 'std': 19.03}"
chq,llama2-7b,0,"{'avg': 1.31, 'std': 5.11}","{'avg': 19.94, 'std': 13.74}","{'avg': 86.65, 'std': 3.09}","{'avg': 33.53, 'std': 34.99}"
chq,llama2-7b,1,"{'avg': 3.04, 'std': 9.62}","{'avg': 26.04, 'std': 16.11}","{'avg': 89.03, 'std': 2.88}","{'avg': 48.91, 'std': 40.96}"
chq,llama2-7b,2,"{'avg': 3.97, 'std': 10.37}","{'avg': 27.91, 'std': 16.2}","{'avg': 89.37, 'std': 2.7}","{'avg': 49.21, 'std': 42.09}"
chq,llama2-7b,4,"{'avg': 3.49, 'std': 8.7}","{'avg': 27.77, 'std': 15.6}","{'avg': 89.2, 'std': 2.65}","{'avg': 47.31, 'std': 40.52}"
chq,llama2-7b,8,"{'avg': 3.06, 'std': 7.61}","{'avg': 27.22, 'std': 14.58}","{'avg': 89.25, 'std': 2.47}","{'avg': 46.33, 'std': 41.09}"
chq,llama2-7b,16,"{'avg': 3.24, 'std': 8.11}","{'avg': 28.36, 'std': 16.3}","{'avg': 89.48, 'std': 2.5}","{'avg': 50.76, 'std': 39.29}"
pls,llama2-7b,0,"{'avg': 0.0, 'std': 0.0}","{'avg': 11.19, 'std': 11.1}","{'avg': 82.39, 'std': 3.29}","{'avg': 21.42, 'std': 23.31}"
pls,llama2-7b,1,"{'avg': 0.43, 'std': 2.23}","{'avg': 11.19, 'std': 10.52}","{'avg': 82.7, 'std': 2.72}","{'avg': 17.81, 'std': 19.45}"
pls,llama2-7b,2,"{'avg': 0.78, 'std': 3.61}","{'avg': 11.98, 'std': 11.22}","{'avg': 82.83, 'std': 3.1}","{'avg': 21.46, 'std': 25.18}"
d2n,llama2-7b,0,"{'avg': 3.39, 'std': 6.16}","{'avg': 14.5, 'std': 8.47}","{'avg': 80.04, 'std': 2.76}","{'avg': 24.72, 'std': 22.49}"
d2n,llama2-7b,1,"{'avg': 10.69, 'std': 11.34}","{'avg': 21.09, 'std': 14.01}","{'avg': 82.58, 'std': 5.39}","{'avg': 35.77, 'std': 26.27}"
